CustomerState;CustomerSurname;CustomerFirstname;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Kansas;Pryer Smith;Herman;6;22.68;938.55;464.35;2786.11
Kansas;Purcell, Sr.;Sanford;4;94.05;450.23;270.33;1081.32
Kansas;Putinas;Kenneth;7;33.65;739.96;326.85;2287.93
Kansas;Quintana;Doyle;8;47.15;816.63;497.15;3977.20
Kansas;Raebel;Dee;7;304.29;824.73;526.39;3684.72
Kansas;Ralph;Lyall;5;102.10;912.67;541.28;2706.39
Kansas;Randell;Denise;8;178.06;968.84;723.49;5787.88
Kansas;Randell;Meris;2;324.29;930.84;627.57;1255.13
Kansas;Raya;Erryn;9;127.37;781.02;484.65;4361.89
Kansas;Renck;Veleine;6;78.25;870.48;524.30;3145.79
Kansas;Richter;Zelda;6;308.83;914.90;652.67;3916.04
Kansas;Roskey;Eve;4;59.73;903.92;534.54;2138.15
Kansas;Rubey;Chad;3;476.67;488.26;482.21;1446.62
Kansas;Ruddick;Sherly;4;54.81;832.50;588.26;2353.06
Kansas;Rueda;Orlando;6;93.75;976.28;503.36;3020.16
Kansas;Russell;Jinous;1;404.80;404.80;404.80;404.80
Kansas;Ruybol;Hershel;6;389.21;945.28;717.68;4306.09
Kansas;Sage;Bonnie;3;49.84;422.69;244.81;734.43
Kansas;Schimanski;Scot;4;114.19;857.40;333.07;1332.28
Kansas;Schnoll;Tori;3;41.62;817.26;499.99;1499.96
Kansas;Schroeder;RitaIva;4;157.83;849.98;409.91;1639.64
Kansas;Schumaker;Py;5;152.37;822.96;456.28;2281.42
Kansas;Several;Anna;5;114.71;988.59;512.17;2560.87
Kansas;Shearer;Tokio;5;233.04;706.89;410.81;2054.04
Kansas;Sisson;Claudette;2;77.31;294.08;185.69;371.39
Kansas;Skelly;Loretta;8;117.63;923.94;572.03;4576.23
Kansas;Slattengren;Manu;3;49.49;780.50;504.73;1514.20
Kansas;Slentz;Dyana;8;188.96;892.16;491.09;3928.69
Kansas;Slezak;Margo;4;150.53;479.88;269.95;1079.82
Kansas;Sluder;Browl;6;139.84;934.68;588.93;3533.57
Kansas;Smallwood;Leroy;3;290.82;779.31;536.52;1609.56
Kansas;Snell;Jordan;9;93.06;903.87;590.03;5310.28
Kansas;Sobey;Anne-Marie;1;78.10;78.10;78.10;78.10
Kansas;Sowa;Connor;7;147.79;955.84;583.46;4084.23
Kansas;Spangler;Jennifer;1;400.80;400.80;400.80;400.80
Kansas;Speck;Katharine;5;352.15;877.45;544.48;2722.39
Kansas;Speicher;Sandra Kay;3;119.59;856.96;485.32;1455.97
Kansas;Stam;Thaddaeus;3;262.48;776.00;469.35;1408.04
Kansas;Starick;Dorine;6;122.04;729.11;467.75;2806.48
Kansas;Steel;Jose;5;64.25;822.35;541.77;2708.87
Kansas;Steeley;Celvin;8;269.33;916.76;513.95;4111.62
Kansas;Steen;Edith;4;84.06;962.63;566.50;2265.99
Kansas;Steeves;G. Richard;6;195.96;999.16;593.36;3560.16
Kansas;Stenberg;Carolina;6;138.01;789.09;499.87;2999.22
Kansas;Sticha;Loy;9;66.12;877.02;413.84;3724.54
Kansas;Stratton;Chesney;2;320.45;652.81;486.63;973.26
Kansas;Stulass;Kathleen;6;112.88;339.57;240.81;1444.85
Kansas;Stultz;Inge;3;308.36;487.88;409.61;1228.84
Kansas;Suazo;Shandi;3;70.85;577.27;390.22;1170.65
Kansas;Sutherland;Kendra;3;354.99;633.39;533.81;1601.42
Kansas;Sutter;Nadine;3;229.38;970.55;705.74;2117.23
Kansas;Swagerty;Carey;6;100.87;498.90;284.93;1709.56
Kansas;Swartwood;Dieter;4;245.60;778.75;490.18;1960.73
Kansas;Tallaksen;Chuakay;4;124.17;940.24;333.73;1334.92
Kansas;Tate;Theresqa;3;55.23;677.32;293.87;881.62
Kansas;Tejan;Thadd;3;187.56;799.94;505.34;1516.01
Kansas;Terhorst;Je;7;41.42;726.93;389.33;2725.29
Kansas;Theil;Nell;6;64.14;916.17;452.33;2714.00
Kansas;Thumann;Kathryn;2;92.03;988.30;540.16;1080.33
Kansas;Tingey;Dolly;3;251.19;977.38;559.03;1677.10
Kansas;Tkachenko;Anne-Marie;6;44.73;980.71;647.48;3884.87
Kansas;Todero;Rami;9;117.95;934.69;524.02;4716.14
Kansas;Tooley;Sherry Lee;6;214.85;705.16;445.83;2675.00
Kansas;Troike;Soledad;5;37.67;779.95;452.75;2263.77
Kansas;Truscott;Denisha;3;90.88;893.64;553.73;1661.19
Kansas;Tuell;Tony;6;40.88;506.78;227.37;1364.21
Kansas;Tullos;Trish;3;219.90;778.68;423.45;1270.35
Kansas;Tweten;Emyril;3;591.71;959.03;829.83;2489.48
Kansas;Udovich;Marianne;8;149.62;996.37;573.97;4591.75
Kansas;Underwood;Margery;10;129.04;681.50;377.56;3775.60
Kansas;Vale;Lainie;5;158.22;989.41;564.20;2821.02
Kansas;Vallard;Darryl;6;116.96;638.95;367.18;2203.05
Kansas;VanHarn;Dolly;8;124.29;878.93;461.18;3689.44
Kansas;Vanderslice;Wendy;3;192.43;896.84;537.88;1613.65
Kansas;Vangelder;Alana;4;688.40;984.69;853.10;3412.39
Kansas;Vangelder;Henrietta;7;22.29;999.84;607.08;4249.57
Kansas;Vanover;Diana;5;365.95;921.54;720.67;3603.34
Kansas;Vanover;Korri;5;37.27;989.87;692.51;3462.54
Kansas;Vanzandt;Kimball;6;246.67;928.85;707.86;4247.14
Kansas;Verdad;Lorraine;2;332.14;526.67;429.40;858.81
Kansas;Verhaus;Cyndee;4;102.13;980.02;569.99;2279.94
Kansas;Vialpando;Jeff;5;392.59;763.78;593.54;2967.72
Kansas;Villalobos;Rajiv;1;398.41;398.41;398.41;398.41
Kansas;Vincenzi;Diamonte;4;433.83;953.93;647.71;2590.85
Kansas;Virden;Wilfred;9;76.73;866.32;451.28;4061.56
Kansas;Vizcarra;Myreda;7;279.32;997.47;755.03;5285.18
Kansas;Von Lindern;Clarice;5;124.82;474.38;344.05;1720.25
Kansas;Voss;Celvin;9;93.14;958.04;528.38;4755.46
Kansas;Waddle;Marina;4;40.87;993.27;625.44;2501.78
Kansas;Wade;Lille;6;234.91;650.87;460.55;2763.31
Kansas;Wagar;Sonny;4;304.80;755.32;528.27;2113.08
Kansas;Waits;Rush;8;63.75;978.15;602.62;4820.98
Kansas;Walbridge;C.;6;192.16;849.65;517.71;3106.23
Kansas;Washington;Nancy;5;85.93;719.84;272.67;1363.37
Kansas;Weidlich;Bethany;1;828.08;828.08;828.08;828.08
Kansas;Wells;Tuyet;1;249.92;249.92;249.92;249.92
Kansas;Westall;Micheline;5;174.68;928.04;515.25;2576.25
Kansas;Wheat;Marilynn;2;112.13;483.31;297.72;595.44
Kansas;Wiene;Anna Maria;4;29.08;660.44;380.68;1522.72
Kansas;Wiens;Lloyd;6;94.76;888.70;507.74;3046.41
Kansas;Williamson;Marlin;3;486.41;999.50;740.15;2220.46
Kansas;Winkler;Carlos;2;934.71;990.83;962.77;1925.54
Kansas;Wisner;Micheline;2;485.77;619.93;552.85;1105.70
Kansas;Wollesen;Bertha;3;68.36;233.78;169.26;507.79
Kansas;Woolsey;Tuyet;8;64.30;861.67;500.95;4007.60
Kansas;Wopperer;Philas;7;58.48;869.22;446.22;3123.52
Kansas;Wornica;Vertrice;3;497.94;565.50;526.96;1580.88
Kansas;Worsham;Rupert;5;270.38;919.36;670.63;3353.13
Kansas;Yeates;Norene;6;46.77;659.17;300.13;1800.75
Kansas;Yeauger;Ona;7;40.21;875.27;367.99;2575.92
Kansas;Yellman;Erryn;3;443.74;903.83;650.93;1952.79
Kansas;Yen;Reva;4;99.28;206.02;155.56;622.24
Kansas;Zetzer;Lloyd;4;85.72;691.29;389.32;1557.27
Kansas;Zimmerman;La Wanda;7;68.86;849.67;503.38;3523.67
Kansas;Zuerner;Antonia;5;179.04;946.66;531.81;2659.03
Kentucky;Abalos;Darcy;6;301.64;867.09;552.71;3316.23
Kentucky;Abner;Billy;7;122.05;958.57;527.24;3690.66
Kentucky;Abrahamian;Wenona;2;246.51;613.22;429.87;859.73
Kentucky;Achey;Jenifer;4;98.62;627.96;393.85;1575.40
Kentucky;Acuna;Colonel;7;115.76;659.95;307.67;2153.71
Kentucky;Aguilar;Jenetta;3;348.82;558.42;445.35;1336.05
Kentucky;Ahlin;Saundra;2;353.07;876.38;614.73;1229.45
Kentucky;Ahlin;Tanya;7;171.10;902.25;480.17;3361.20
Kentucky;Alameda;Jilleane;2;376.48;555.17;465.82;931.65
Kentucky;Albert;Amber;12;74.15;991.19;495.58;5946.96
Kentucky;Alcon;Elliott;4;84.79;465.10;241.52;966.08
Kentucky;Aleksic;Manuelita;5;67.09;864.25;379.08;1895.40
Kentucky;Aliipranti;Janeen;9;39.31;986.55;463.95;4175.55
Kentucky;Almanzor;Olivia;10;30.91;849.43;408.83;4088.35
Kentucky;Amic;Kay;1;532.03;532.03;532.03;532.03
Kentucky;Amic;V. Diane;4;260.01;703.32;502.81;2011.25
Kentucky;Amper;Daryl;5;122.90;982.11;725.32;3626.58
Kentucky;Andersen;Sheldon;5;103.99;973.48;457.77;2288.83
Kentucky;Antrim;Willa Dee;7;100.10;762.86;383.36;2683.53
Kentucky;Arakawa;Calen;8;112.56;841.46;548.07;4384.59
Kentucky;Archuletta;Gen;3;432.96;889.32;711.41;2134.24
Kentucky;Argo;Billy;5;132.07;933.81;565.21;2826.04
Kentucky;Armour;Dyanna;3;145.28;965.85;502.08;1506.24
Kentucky;Asuncion;Blanca;3;447.51;837.48;687.37;2062.11
Kentucky;Avila;Kali;4;140.70;769.78;527.01;2108.05
Kentucky;Babbel;Lanna;2;27.06;287.43;157.25;314.49
Kentucky;Babbitt;Jean;3;272.62;415.48;351.75;1055.24
Kentucky;Bachman;Mary Frances;6;133.03;978.20;658.74;3952.45
Kentucky;Bagno;Mina;3;261.10;595.68;482.72;1448.16
Kentucky;Bakhtyari;Zettie;4;365.99;594.00;483.77;1935.10
Kentucky;Bales;Rebbecca;4;282.36;724.20;488.31;1953.22
Kentucky;Bancroft;Allisa;7;211.25;913.42;504.29;3530.06
Kentucky;Banich;Bret;2;100.29;928.90;514.60;1029.19
Kentucky;Barkoff;Gene;9;47.45;710.45;419.04;3771.32
Kentucky;Barrientos;Sherly;3;61.81;969.47;472.40;1417.20
Kentucky;Baseheart;Gen;4;82.99;918.33;578.54;2314.18
Kentucky;Baskin;Rosealee;8;154.89;951.35;427.62;3420.94
Kentucky;Bauman;Doyle;3;837.20;929.57;877.53;2632.58
Kentucky;Bauman;Luann;3;68.25;513.35;344.13;1032.38
Kentucky;Baviera;Erik;6;318.07;979.43;600.06;3600.35
Kentucky;Baviera;Genevieve;5;514.64;929.51;797.36;3986.82
Kentucky;Beckby;Norman;3;433.53;868.90;716.91;2150.74
Kentucky;Benando;Wiley;5;171.66;998.74;491.26;2456.30
Kentucky;Benoit;R.;7;62.19;954.71;426.19;2983.30
Kentucky;Berger;Emmitt;4;32.73;735.06;336.87;1347.49
Kentucky;Beutel;Browl;3;436.03;648.42;554.82;1664.47
Kentucky;Binion;Maureen;3;210.34;386.01;286.30;858.89
Kentucky;Blackman;Birgitta;2;589.28;981.15;785.21;1570.43
Kentucky;Bloch;V. Ola;4;550.98;934.58;724.84;2899.38
Kentucky;Bock;Kendra;3;61.33;981.35;391.43;1174.30
Kentucky;Bohrer;Jim;3;732.95;824.63;767.52;2302.57
Kentucky;Bolling;Danny;3;260.22;652.15;399.23;1197.69
Kentucky;Borjesson;Tori;6;226.25;792.42;485.14;2910.83
Kentucky;Boroff;Opal;3;458.68;516.96;482.00;1446.01
Kentucky;Borton;Wade;12;88.06;916.05;584.86;7018.28
Kentucky;Boudreaux;Rosalina;3;61.26;571.98;248.93;746.78
Kentucky;Bowie;Brandy;6;176.96;847.07;443.52;2661.09
Kentucky;Bozeman;Joanna;5;277.49;918.02;599.56;2997.80
Kentucky;Brafford;Jaye;3;294.90;465.85;390.70;1172.11
Kentucky;Branagh;Tokio;5;199.98;605.84;505.20;2526.01
Kentucky;Braningan;Greta;8;36.94;861.50;489.55;3916.39
Kentucky;Branston;Kadija;4;191.22;957.19;611.74;2446.97
Kentucky;Braunlich;Marcella;4;36.45;741.98;411.43;1645.73
Kentucky;Brewer;Simona;6;45.74;833.00;296.66;1779.98
Kentucky;Brierley;Veola;4;419.00;970.40;609.03;2436.13
Kentucky;Brookshire;Rita;9;29.35;859.53;444.51;4000.55
Kentucky;Browning;Kayla;3;73.02;572.60;295.45;886.35
Kentucky;Brunda;Joanna;6;149.57;850.34;430.00;2580.02
Kentucky;Bryan;Elisa;6;61.11;764.39;399.86;2399.16
Kentucky;Buckhaults;Blanca;8;77.22;942.19;482.33;3858.61
Kentucky;Budd;J. Alvin;4;53.00;867.07;426.34;1705.37
Kentucky;Bullis;Carla;4;173.53;943.30;575.64;2302.55
Kentucky;Burke;Hubert;7;33.78;974.66;627.48;4392.39
Kentucky;Burks;Rosalinda;6;83.48;727.06;379.00;2273.98
Kentucky;Burns;Suzy;3;436.00;694.29;570.99;1712.97
Kentucky;Burr;Carolina;4;78.40;410.53;216.47;865.87
Kentucky;Burus;Aida;4;292.68;796.67;532.65;2130.59
Kentucky;Bybee;Chong-jean;7;104.07;799.75;496.11;3472.77
Kentucky;Byrnes;Jeannet;7;149.06;977.26;503.31;3523.14
Kentucky;Caise;Marcella;6;57.14;905.96;425.18;2551.08
Kentucky;Calicura;Dwayne;3;335.58;551.31;469.94;1409.82
Kentucky;Cammarota;Theolin;4;423.97;694.44;547.99;2191.94
Kentucky;Camo;Dolores;7;65.70;977.19;514.78;3603.48
Kentucky;Cantoni;Nick;6;35.05;662.59;410.82;2464.90
Kentucky;Carey;Jauna;11;58.33;873.92;524.21;5766.29
Kentucky;Carol Shannon;Odin;3;53.82;994.98;552.08;1656.23
Kentucky;Carolin;Jessica;4;253.54;842.61;626.87;2507.49
Kentucky;Cartwright;Stacey;8;225.55;856.22;589.54;4716.33
Kentucky;Cassidy;Laurel;3;217.90;564.89;345.06;1035.19
Kentucky;Casson;Roshini;5;46.34;880.46;453.76;2268.79
Kentucky;Castandeda;Nyya;6;145.17;931.07;484.69;2908.16
Kentucky;Cayo;Dixie;3;46.06;677.42;340.70;1022.10
Kentucky;Chamberlain;Jerry;5;82.43;986.94;506.56;2532.79
Kentucky;Charles;Jauire;3;21.02;664.34;261.82;785.47
Kentucky;Childs;Kathaleen;8;57.12;870.31;531.70;4253.61
Kentucky;Christian;Barri;5;145.75;984.40;498.70;2493.48
Kentucky;Christmas;Brigid;7;128.14;889.93;454.32;3180.24
Kentucky;Cirafice;Beatrice;3;275.46;974.61;565.80;1697.41
Kentucky;Clifton;Bessie;7;92.25;788.33;476.93;3338.48
Kentucky;Clouse;Stacey;3;455.08;835.50;617.42;1852.26
Kentucky;Cochran;Marilee;4;359.40;979.59;804.01;3216.05
Kentucky;Cohn;R.;3;26.05;713.34;302.41;907.23
Kentucky;Colligan;Janet;5;61.81;560.41;302.66;1513.31
Kentucky;Collins;Layla;5;230.28;991.03;693.26;3466.32
Kentucky;Collopy;Gunda;8;35.48;982.36;488.40;3907.18
Kentucky;Coniglio;Priscilla;3;202.96;516.10;350.91;1052.74
Kentucky;Cope;Greta;5;320.51;881.15;616.53;3082.63
Kentucky;Coy;Bertha Mae;6;149.23;759.19;435.12;2610.74
Kentucky;Crawford;Marilynn;8;249.09;936.21;547.97;4383.75
Kentucky;Crill;Charity;7;260.78;939.10;494.26;3459.83
Kentucky;Cucinell;Kortney;6;403.43;897.97;596.37;3578.23
Kentucky;Culp;Blaise;4;61.85;932.36;523.36;2093.44
Kentucky;Dagnillo;Roman;3;108.31;624.28;377.37;1132.11
Kentucky;Dailey;F. Wes;2;473.94;780.31;627.12;1254.25
Kentucky;Daily;Charlene;7;151.60;917.98;613.15;4292.08
Kentucky;Dalander;Marshall;7;110.39;742.52;465.28;3256.99
Kentucky;Daroca;Jackie;2;178.96;574.40;376.68;753.36
Kentucky;Davelis;Jeannette;5;127.79;739.83;376.75;1883.74
Kentucky;DeRusso;Zach;7;99.66;940.80;570.71;3994.98
Kentucky;Dere;Loraine;7;117.16;894.06;438.20;3067.41
Kentucky;Derrickson;Danette;5;265.68;952.68;700.87;3504.35
Kentucky;Derrington;Casilda;3;109.33;438.91;260.58;781.75
Kentucky;Desandre;Dottie;7;28.57;974.35;506.11;3542.78
Kentucky;Desloover;Zachary;9;21.33;835.99;365.64;3290.73
Kentucky;Diack;Damon;4;281.82;458.72;381.64;1526.58
Kentucky;Docktar;Vikki;6;640.82;924.65;805.88;4835.26
Kentucky;Dooley;Karlee;4;180.96;913.12;496.07;1984.30
Kentucky;Dowd;Shelia;5;181.85;917.16;488.75;2443.75
Kentucky;Drury;Paige;2;433.91;685.39;559.65;1119.30
Kentucky;Duenas;Pasquale;5;143.01;713.05;352.45;1762.23
Kentucky;Duncan;Miranda;3;178.47;789.45;513.95;1541.85
Kentucky;Dunn;Halbert;3;20.59;978.63;589.76;1769.29
Kentucky;Dymesich;Laurence;8;119.60;649.42;387.03;3096.21
Kentucky;Easterling;Martha;8;205.08;861.81;451.29;3610.31
Kentucky;Ehrler;Fraidon;2;278.24;521.12;399.68;799.36
Kentucky;Eichelkraut;Virtudes;5;274.61;989.18;587.27;2936.37
Kentucky;Elam;Katrin;3;60.83;425.29;207.74;623.22
Kentucky;Emrick;Byron;8;150.02;643.22;430.73;3445.83
Kentucky;Espinoza;Darlene;1;439.73;439.73;439.73;439.73
Kentucky;Esquibel;Nicky;4;178.28;672.78;361.39;1445.55
Kentucky;Estepp;Priscilla;7;269.75;972.46;572.34;4006.39
Kentucky;Etter;Dolores;4;140.19;669.20;298.02;1192.08
Kentucky;Fidler;Veronica;4;77.10;381.38;288.97;1155.87
Kentucky;Fitzi;Leroy;12;129.21;953.60;493.36;5920.33
Kentucky;Fitzmorris;Reginald;6;354.47;891.24;688.78;4132.68
Kentucky;Fleming;Sheryl;5;27.24;653.90;294.05;1470.27
Kentucky;Flick;Herb;4;206.39;857.35;419.84;1679.35
Kentucky;Forham;Roselie;10;112.21;906.53;531.20;5312.03
Kentucky;Forrest;Nevlyn;2;245.93;365.28;305.61;611.21
Kentucky;Forsyth;Mari;8;224.49;980.32;570.76;4566.09
Kentucky;Frederick;Gunda;6;437.16;961.77;633.94;3803.62
Kentucky;French;Paulette;5;41.44;895.36;446.90;2234.51
Kentucky;Furrer;Sabrina;10;220.45;969.26;551.65;5516.47
Kentucky;Garbiso;Wesley;7;61.04;930.77;322.16;2255.13
Kentucky;Gibbons;Mikkal;4;176.27;804.05;535.63;2142.51
Kentucky;Gillispie;Hally;5;297.83;779.72;524.49;2622.46
Kentucky;Gillmore;Lavaughn;7;55.77;969.28;703.02;4921.13
Kentucky;Glennemeier;Candice;5;423.18;954.73;744.24;3721.18
Kentucky;Goff;Olga;8;193.62;891.07;523.05;4184.40
Kentucky;Gold;Meriann;6;278.92;881.25;610.09;3660.54
Kentucky;Goldhammer;Ruth Ann;1;584.45;584.45;584.45;584.45
Kentucky;Goodwin;Larry;5;155.41;902.16;587.19;2935.97
Kentucky;Gore;Achari;6;260.83;775.97;580.79;3484.76
Kentucky;Gottier;Dion;9;27.29;980.93;617.60;5558.36
Kentucky;Goudreau;Yehoshua;6;158.19;833.06;478.35;2870.08
Kentucky;Guerero;Suzann;3;178.34;868.26;530.64;1591.91
Kentucky;Gutierrez;Colonel;9;147.66;868.12;552.48;4972.30
Kentucky;Gutirrez;Alice;10;28.68;947.67;463.02;4630.23
Kentucky;Haddock;Delores;5;145.86;892.99;614.10;3070.48
Kentucky;Haemon;Jon;7;223.76;919.57;528.86;3702.05
Kentucky;Halbash;Broamma;6;405.87;801.66;629.16;3774.99
Kentucky;Halbash;Luanne;5;496.84;921.86;781.96;3909.81
Kentucky;Harding;Marci;4;628.72;850.19;786.26;3145.03
Kentucky;Harrod;Alexandro;3;87.47;792.25;509.62;1528.87
Kentucky;Hasslen;Gracia;3;81.36;335.02;216.65;649.96
Kentucky;Haugland;Coletta;5;73.40;654.66;387.51;1937.57
Kentucky;Haun;Sheree;4;263.53;820.53;527.09;2108.35
Kentucky;Heckman;Reinhold;9;20.22;874.21;492.12;4429.05
Kentucky;Henson;Jimmy;5;105.93;928.53;613.27;3066.36
Kentucky;Hibbits;Mandy;5;286.19;934.36;571.27;2856.35
Kentucky;Hicks;Lainie;5;242.69;863.84;546.01;2730.06
Kentucky;Hishmeh;Karma;6;99.12;937.02;512.48;3074.85
Kentucky;Holliday;Marylee;4;112.51;954.99;651.15;2604.59
Kentucky;Horning;Danielle;7;185.45;736.22;398.20;2787.38
Kentucky;Houseman;Lindsey;3;76.35;865.42;574.73;1724.18
Kentucky;Hufton;Ted;6;281.67;999.49;643.64;3861.87
Kentucky;Hughs;Nora;4;63.63;928.29;598.22;2392.88
Kentucky;Hulett;Leigha;2;74.55;249.81;162.18;324.36
Kentucky;Ibsen;Garnis;7;53.36;900.43;494.41;3460.87
Kentucky;Ison;Cornelius;2;712.36;921.57;816.97;1633.93
Kentucky;Jacobson;Marshall;7;22.52;920.34;524.79;3673.52
Kentucky;Jameson;Marloe;7;497.11;912.70;662.10;4634.72
Kentucky;Jarnagin;Clair;4;80.42;964.39;464.18;1856.73
Kentucky;Jegier;Randel;4;213.80;898.92;616.02;2464.08
Kentucky;Judnich;Shandean;6;468.66;896.70;691.39;4148.32
Kentucky;June;Reva;5;78.00;714.47;462.80;2314.00
Kentucky;Jussell;Georgeane;9;64.25;813.90;509.89;4589.05
Kentucky;Kalman;Stacy;5;86.05;888.53;565.14;2825.68
Kentucky;Kanagaki;Wathalee;2;132.01;407.37;269.69;539.38
Kentucky;Karavites;Vivien;4;343.03;781.79;568.99;2275.97
Kentucky;Karp;Donna;5;110.87;947.63;526.74;2633.72
Kentucky;Keeter;Myles;10;115.86;998.61;608.80;6088.05
Kentucky;Kesinger;Christina;3;747.59;854.48;817.93;2453.80
Kentucky;Kesse;Garth;4;356.69;989.15;739.76;2959.05
Kentucky;Kidwell;Ernesto;7;48.10;920.70;425.68;2979.73
Kentucky;Kindall;Duane;4;381.86;802.86;631.09;2524.36
Kentucky;Kinney;Nicola;3;286.09;919.68;558.95;1676.86
Kentucky;Kintner;Heather;3;69.06;966.25;502.01;1506.02
Kentucky;Kirby;Gavino;3;618.47;945.65;765.59;2296.78
Kentucky;Kirk;Ronny;5;94.35;723.38;272.45;1362.24
Kentucky;Krassowski;Cathy;6;24.17;893.23;481.50;2889.01
Kentucky;Kreutzer;Laureen;1;737.52;737.52;737.52;737.52
Kentucky;Kroes;Cyril;8;154.13;898.80;459.85;3678.82
Kentucky;Kubacki;Tandy;4;340.33;906.05;519.27;2077.10
Kentucky;Ladd;Nora;6;40.94;967.09;451.69;2710.16
Kentucky;Lambert;Mitch;5;224.42;851.51;445.93;2229.65
Kentucky;Lammers;Dominic;3;342.78;961.27;738.89;2216.68
Kentucky;Lanum;Tyrone;8;204.01;960.65;510.52;4084.15
Kentucky;Laudenslager;Creta;3;323.87;740.41;525.81;1577.44
Kentucky;Lawson;Tonirae;4;191.04;919.57;515.79;2063.15
Kentucky;Lay;Annmarie;3;687.85;874.53;762.84;2288.52
Kentucky;LeMaster;Katherine;3;89.12;772.04;327.63;982.89
Kentucky;Lechter;Yaakov;7;53.05;824.70;432.81;3029.66
Kentucky;Leong;Florianne;2;229.39;460.14;344.76;689.53
Kentucky;Lewis;Nyya;4;219.69;830.60;420.31;1681.23
Kentucky;Lubar;Britton;2;626.57;711.39;668.98;1337.96
Kentucky;Mack;Maudie;9;57.74;909.47;313.26;2819.31
Kentucky;Maegoldo;Carole;6;48.28;856.04;408.10;2448.60
Kentucky;Mahon;Ezra;8;291.37;965.95;688.25;5506.01
Kentucky;Malanca;Catherine;5;121.40;948.39;444.28;2221.42
Kentucky;Mallard;Mary Dinna;3;40.44;853.30;546.29;1638.88
Kentucky;Malmendier;Viviana;6;144.57;968.24;721.52;4329.10
Kentucky;Maloney;Kyle;4;181.93;882.00;682.06;2728.24
Kentucky;Manzanares;Karlee;5;44.56;440.13;295.26;1476.29
Kentucky;Marti;Lewis;1;641.12;641.12;641.12;641.12
Kentucky;Martucci;Ray;13;24.40;981.08;546.88;7109.49
Kentucky;Masset;Billy;3;84.00;798.64;536.69;1610.07
Kentucky;Mattson;Betti;1;181.16;181.16;181.16;181.16
Kentucky;McBride;Blade;4;265.88;854.98;443.47;1773.86
Kentucky;McCain;Mariann;7;236.07;843.35;621.27;4348.90
Kentucky;McCormick;Albert;5;80.80;993.40;400.38;2001.90
Kentucky;McGrath;Judith;4;568.36;925.00;787.91;3151.63
Kentucky;McKnight;Stella;3;401.28;590.51;514.43;1543.28
Kentucky;McNabb;Jeanelle;4;61.34;812.60;430.04;1720.17
Kentucky;McRae;Opal;5;72.21;660.03;325.89;1629.44
Kentucky;McRae;Roman;4;251.89;823.81;631.10;2524.38
Kentucky;Mccarty;C.;6;91.17;925.88;529.55;3177.27
Kentucky;Menaseo;Taylor;8;308.31;954.81;622.90;4983.17
Kentucky;Mendell;Kandi;5;226.51;869.27;536.15;2680.74
Kentucky;Mendiola;Marian;6;212.35;972.99;623.30;3739.83
Kentucky;Mendonca;Shaneen;3;115.48;860.37;604.82;1814.46
Kentucky;Merlo;Virgie;4;36.19;915.14;376.37;1505.47
Kentucky;Meston;Kiki;4;377.60;789.77;535.53;2142.13
Kentucky;Mizer;Clay;4;45.37;707.65;395.18;1580.71
Kentucky;Moberly;Felix;9;48.48;978.93;562.87;5065.82
Kentucky;Modlish;Greta;4;621.48;766.75;689.46;2757.83
Kentucky;Morlan;Finis;7;254.10;999.39;562.44;3937.11
Kentucky;Neely;Gonzalo;7;125.72;932.08;498.02;3486.13
Kentucky;Netz;Dee;4;537.80;996.65;799.58;3198.32
Kentucky;Nilson;Rajiv;3;462.47;963.38;695.50;2086.49
Kentucky;Nolte;Cecilia;2;41.33;368.24;204.78;409.57
Kentucky;Norick;Gina;8;32.94;944.41;614.03;4912.22
Kentucky;Ohman;Cathie;4;216.32;441.91;316.97;1267.89
Kentucky;Olguin;Katrin;2;112.79;951.42;532.11;1064.21
Kentucky;Orona;L. Troy;4;296.68;981.30;569.67;2278.67
Kentucky;Orr;JoAnne;4;600.50;955.75;770.93;3083.74
Kentucky;Osborn;Jesse;2;89.46;381.24;235.35;470.70
Kentucky;Pansa;Troy;3;719.76;915.74;832.76;2498.27
Kentucky;Paris;Sue;6;46.08;978.40;490.76;2944.55
Kentucky;Parker;Raymonde;5;202.83;860.14;386.27;1931.36
Kentucky;Parks;Jade;4;49.63;913.26;427.80;1711.21
Kentucky;Parr;Julius;7;176.29;783.59;514.59;3602.14
Kentucky;Paulson;Lourdes;7;42.83;734.39;339.79;2378.54
Kentucky;Pearce;Brad;6;131.45;525.98;302.24;1813.43
Kentucky;Penfold;Earnest;6;36.38;745.51;443.28;2659.68
Kentucky;Perry;Elayne;8;73.53;968.09;451.44;3611.51
Kentucky;Perry;Emma Lou;5;141.00;995.84;466.03;2330.13
Kentucky;Pfanz;Kendrick;8;95.18;990.88;563.39;4507.16
Kentucky;Phoenix;Delfino;4;155.06;766.35;549.00;2196.02
Kentucky;Pierotti;Joan;5;361.49;945.10;674.87;3374.34
Kentucky;Pinkston;Reiko;8;37.92;968.51;452.90;3623.22
Kentucky;Pirraglia;Jalexis;3;293.76;778.65;550.89;1652.66
Kentucky;Pisciotta;Sherry Lee;5;51.82;657.67;417.64;2088.20
Kentucky;Potter;C. James;6;31.24;974.88;495.35;2972.13
Kentucky;Praete;Nattie;3;486.90;862.79;621.99;1865.96
Kentucky;Pugh;Shauneen;5;284.70;967.48;680.96;3404.80
