EmployeeSurname;EmployeeFirstname;CustomerState;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Cata;Flora;Michigan;9;108.68;997.54;463.58;4172.18
Cata;Flora;Minnesota;9;139.07;989.10;526.08;4734.74
Cata;Flora;Mississippi;11;31.14;722.60;445.87;4904.52
Cata;Flora;Missouri;15;20.47;848.50;502.39;7535.92
Cata;Flora;Montana;8;249.00;989.36;569.64;4557.13
Cata;Flora;Nebraska;11;129.04;995.91;442.97;4872.67
Cata;Flora;Nevada;13;25.45;986.86;364.84;4742.93
Cata;Flora;New Hampshire;6;82.90;783.89;411.28;2467.67
Cata;Flora;New Jersey;12;225.80;817.30;510.49;6125.87
Cata;Flora;New Mexico;8;103.41;910.00;541.54;4332.35
Cata;Flora;New York;6;97.28;990.87;520.72;3124.29
Cata;Flora;North Carolina;13;128.05;991.78;596.06;7748.82
Cata;Flora;North Dakota;12;34.21;964.02;454.37;5452.39
Cata;Flora;Ohio;9;52.89;905.55;370.20;3331.77
Cata;Flora;Oklahoma;7;114.26;864.91;542.23;3795.62
Cata;Flora;Oregon;11;128.25;948.90;485.46;5340.08
Cata;Flora;Pennsylvania;9;260.95;868.48;589.98;5309.81
Cata;Flora;Rhode Island;10;42.73;973.34;685.68;6856.80
Cata;Flora;South Carolina;13;102.15;988.34;425.95;5537.30
Cata;Flora;South Dakota;7;141.08;905.88;486.91;3408.36
Cata;Flora;Tennessee;16;122.23;984.35;553.82;8861.17
Cata;Flora;Texas;17;34.40;947.36;384.24;6532.14
Cata;Flora;Utah;13;40.21;807.47;442.01;5746.13
Cata;Flora;Vermont;10;29.15;840.04;495.97;4959.69
Cata;Flora;Virginia;11;128.72;796.10;524.32;5767.51
Cata;Flora;Washington;14;216.58;964.94;563.26;7885.57
Cata;Flora;West Virginia;13;169.17;810.00;479.65;6235.42
Cata;Flora;Wisconsin;8;338.28;943.47;556.96;4455.67
Cata;Flora;Wyoming;7;427.19;829.70;637.29;4461.00
Cereghino;Peter;Alabama;11;159.16;846.13;463.95;5103.49
Cereghino;Peter;Alaska;14;33.19;789.65;406.93;5696.97
Cereghino;Peter;Arizona;10;371.31;939.41;579.28;5792.78
Cereghino;Peter;Arkansas;8;25.74;891.82;449.94;3599.49
Cereghino;Peter;California;14;97.54;961.55;544.33;7620.59
Cereghino;Peter;Colorado;6;263.97;990.15;713.65;4281.89
Cereghino;Peter;Connecticut;10;70.63;984.04;483.95;4839.47
Cereghino;Peter;Delaware;10;172.35;873.82;560.28;5602.75
Cereghino;Peter;Florida;8;91.78;574.26;358.61;2868.89
Cereghino;Peter;Georgia;12;226.64;890.25;596.05;7152.64
Cereghino;Peter;Hawaii;15;21.10;986.22;474.56;7118.33
Cereghino;Peter;Idaho;13;193.66;915.60;582.59;7573.67
Cereghino;Peter;Illinois;8;23.48;858.77;421.86;3374.90
Cereghino;Peter;Indiana;6;374.82;959.46;615.99;3695.96
Cereghino;Peter;Iowa;10;103.36;969.57;498.24;4982.38
Cereghino;Peter;Kansas;13;38.78;962.33;494.72;6431.37
Cereghino;Peter;Kentucky;5;244.52;869.27;492.28;2461.38
Cereghino;Peter;Louisiana;12;190.48;986.60;605.93;7271.17
Cereghino;Peter;Maine;12;169.69;867.45;590.79;7089.53
Cereghino;Peter;Maryland;12;112.90;854.48;559.90;6718.83
Cereghino;Peter;Massachusetts;6;35.06;824.04;529.76;3178.54
Cereghino;Peter;Michigan;7;55.85;805.32;402.96;2820.73
Cereghino;Peter;Minnesota;11;52.56;999.08;641.03;7051.36
Cereghino;Peter;Mississippi;10;57.42;908.16;360.84;3608.42
Cereghino;Peter;Missouri;11;87.45;918.40;473.47;5208.17
Cereghino;Peter;Montana;12;76.40;972.98;541.75;6500.95
Cereghino;Peter;Nebraska;8;32.86;652.85;303.19;2425.55
Cereghino;Peter;Nevada;6;225.01;929.32;420.43;2522.60
Cereghino;Peter;New Hampshire;11;56.71;859.28;525.66;5782.31
Cereghino;Peter;New Jersey;14;40.22;899.59;496.74;6954.40
Cereghino;Peter;New Mexico;12;98.76;945.48;500.16;6001.92
Cereghino;Peter;New York;5;577.23;977.65;707.29;3536.45
Cereghino;Peter;North Carolina;12;64.54;890.03;488.39;5860.71
Cereghino;Peter;North Dakota;7;67.21;814.65;489.56;3426.91
Cereghino;Peter;Ohio;4;176.44;835.80;595.50;2382.01
Cereghino;Peter;Oklahoma;7;65.78;887.41;597.07;4179.49
Cereghino;Peter;Oregon;8;39.83;952.36;447.74;3581.89
Cereghino;Peter;Pennsylvania;10;52.88;964.09;488.62;4886.19
Cereghino;Peter;Rhode Island;6;37.83;816.12;527.67;3166.02
Cereghino;Peter;South Carolina;10;24.05;977.67;525.12;5251.16
Cereghino;Peter;South Dakota;4;138.52;746.74;427.54;1710.18
Cereghino;Peter;Tennessee;11;111.02;941.34;614.65;6761.15
Cereghino;Peter;Texas;10;35.71;835.00;482.26;4822.63
Cereghino;Peter;Utah;7;83.62;815.49;490.20;3431.37
Cereghino;Peter;Vermont;13;175.01;891.04;424.29;5515.81
Cereghino;Peter;Virginia;10;249.48;801.21;456.14;4561.41
Cereghino;Peter;Washington;8;233.22;657.19;451.09;3608.71
Cereghino;Peter;West Virginia;5;155.59;615.30;463.84;2319.20
Cereghino;Peter;Wisconsin;10;26.43;796.87;367.80;3677.98
Cereghino;Peter;Wyoming;11;222.96;849.95;456.98;5026.82
Cervantes;Stanley;Alabama;17;34.84;995.47;540.44;9187.52
Cervantes;Stanley;Alaska;12;79.29;969.68;531.15;6373.76
Cervantes;Stanley;Arizona;9;64.35;799.32;573.63;5162.67
Cervantes;Stanley;Arkansas;6;102.45;726.59;490.79;2944.74
Cervantes;Stanley;California;12;120.31;957.04;501.10;6013.21
Cervantes;Stanley;Colorado;12;81.91;949.36;558.85;6706.17
Cervantes;Stanley;Connecticut;9;136.58;818.49;461.92;4157.30
Cervantes;Stanley;Delaware;18;54.57;941.46;462.69;8328.39
Cervantes;Stanley;Florida;9;62.72;896.37;447.45;4027.01
Cervantes;Stanley;Georgia;11;302.17;990.59;669.21;7361.30
Cervantes;Stanley;Hawaii;7;98.38;844.42;548.91;3842.35
Cervantes;Stanley;Idaho;11;34.20;997.81;499.38;5493.19
Cervantes;Stanley;Illinois;13;163.89;919.08;538.74;7003.59
Cervantes;Stanley;Indiana;10;119.91;954.92;517.94;5179.41
Cervantes;Stanley;Iowa;11;30.89;992.27;451.81;4969.93
Cervantes;Stanley;Kansas;11;153.46;999.16;606.31;6669.46
Cervantes;Stanley;Kentucky;14;61.04;865.92;474.38;6641.29
Cervantes;Stanley;Louisiana;10;51.05;978.96;393.68;3936.77
Cervantes;Stanley;Maine;6;110.46;569.25;371.74;2230.41
Cervantes;Stanley;Maryland;8;240.32;951.88;534.80;4278.43
Cervantes;Stanley;Massachusetts;10;81.53;953.53;505.41;5054.05
Cervantes;Stanley;Michigan;9;84.71;955.28;558.61;5027.50
Cervantes;Stanley;Minnesota;15;39.63;947.17;508.08;7621.20
Cervantes;Stanley;Mississippi;8;320.18;858.21;603.02;4824.15
Cervantes;Stanley;Missouri;6;32.43;668.00;232.58;1395.48
Cervantes;Stanley;Montana;10;43.67;928.69;438.05;4380.54
Cervantes;Stanley;Nebraska;14;85.50;980.20;499.05;6986.73
Cervantes;Stanley;Nevada;6;164.90;812.87;538.18;3229.11
Cervantes;Stanley;New Hampshire;8;39.39;847.84;392.68;3141.44
Cervantes;Stanley;New Jersey;8;66.85;681.47;390.86;3126.89
Cervantes;Stanley;New Mexico;9;40.30;984.13;469.39;4224.55
Cervantes;Stanley;New York;9;25.90;847.54;372.85;3355.68
Cervantes;Stanley;North Carolina;14;127.26;906.09;533.20;7464.73
Cervantes;Stanley;North Dakota;10;71.95;999.35;543.27;5432.73
Cervantes;Stanley;Ohio;8;181.01;972.88;516.30;4130.37
Cervantes;Stanley;Oklahoma;11;32.36;802.32;365.18;4017.02
Cervantes;Stanley;Oregon;7;128.95;827.42;404.88;2834.15
Cervantes;Stanley;Pennsylvania;6;137.75;447.20;340.86;2045.16
Cervantes;Stanley;Rhode Island;9;175.65;975.64;511.56;4604.04
Cervantes;Stanley;South Carolina;13;352.57;926.00;639.97;8319.58
Cervantes;Stanley;South Dakota;12;58.97;935.33;527.20;6326.39
Cervantes;Stanley;Tennessee;4;194.69;751.51;477.62;1910.46
Cervantes;Stanley;Texas;8;105.81;865.10;526.29;4210.29
Cervantes;Stanley;Utah;9;276.79;940.90;567.86;5110.78
Cervantes;Stanley;Vermont;12;40.28;901.62;406.84;4882.09
Cervantes;Stanley;Virginia;14;205.10;915.99;589.14;8247.92
Cervantes;Stanley;Washington;11;136.80;993.08;667.52;7342.71
Cervantes;Stanley;West Virginia;7;39.49;998.02;460.22;3221.51
Cervantes;Stanley;Wisconsin;11;24.30;977.51;552.27;6075.01
Cervantes;Stanley;Wyoming;6;312.22;705.24;511.62;3069.75
Chace;Rowan;Alabama;13;60.56;818.48;450.12;5851.56
Chace;Rowan;Alaska;9;49.91;930.58;490.44;4413.97
Chace;Rowan;Arizona;11;159.31;968.57;525.34;5778.71
Chace;Rowan;Arkansas;9;20.15;961.17;544.79;4903.15
Chace;Rowan;California;10;105.26;675.18;356.84;3568.38
Chace;Rowan;Colorado;11;131.49;946.98;518.10;5699.13
Chace;Rowan;Connecticut;12;61.19;987.35;652.98;7835.81
Chace;Rowan;Delaware;7;60.02;879.77;583.05;4081.37
Chace;Rowan;Florida;5;141.18;752.51;470.16;2350.78
Chace;Rowan;Georgia;13;134.69;994.17;514.34;6686.46
Chace;Rowan;Hawaii;11;280.82;985.94;634.79;6982.68
Chace;Rowan;Idaho;11;65.16;982.66;616.38;6780.16
Chace;Rowan;Illinois;12;94.06;861.33;481.51;5778.12
Chace;Rowan;Indiana;12;69.16;973.60;462.26;5547.09
Chace;Rowan;Iowa;11;95.40;830.39;442.01;4862.06
Chace;Rowan;Kansas;7;76.73;815.32;406.21;2843.48
Chace;Rowan;Kentucky;15;284.75;980.32;537.26;8058.90
Chace;Rowan;Louisiana;15;51.08;928.83;537.90;8068.45
Chace;Rowan;Maine;8;113.08;752.44;384.21;3073.65
Chace;Rowan;Maryland;8;77.28;894.49;434.38;3475.07
Chace;Rowan;Massachusetts;12;57.56;849.45;357.24;4286.91
Chace;Rowan;Michigan;11;41.06;939.05;556.63;6122.96
Chace;Rowan;Minnesota;6;71.29;911.55;504.63;3027.80
Chace;Rowan;Mississippi;7;541.10;901.35;699.29;4895.06
Chace;Rowan;Missouri;14;36.05;844.72;420.78;5890.89
Chace;Rowan;Montana;12;71.19;880.71;352.65;4231.79
Chace;Rowan;Nebraska;7;38.19;909.71;480.41;3362.89
Chace;Rowan;Nevada;12;79.24;989.36;485.85;5830.20
Chace;Rowan;New Hampshire;7;270.15;928.83;631.19;4418.30
Chace;Rowan;New Jersey;15;38.89;767.67;462.04;6930.66
Chace;Rowan;New Mexico;13;110.23;919.98;485.60;6312.74
Chace;Rowan;New York;9;117.74;974.09;673.21;6058.93
Chace;Rowan;North Carolina;12;146.87;992.21;575.68;6908.13
Chace;Rowan;North Dakota;12;44.54;915.05;496.79;5961.50
Chace;Rowan;Ohio;11;46.89;986.78;699.98;7699.78
Chace;Rowan;Oklahoma;11;75.27;877.88;555.54;6110.91
Chace;Rowan;Oregon;13;49.63;963.39;490.37;6374.80
Chace;Rowan;Pennsylvania;5;138.16;894.26;436.35;2181.76
Chace;Rowan;Rhode Island;9;50.69;978.00;521.88;4696.96
Chace;Rowan;South Carolina;8;68.45;837.29;469.72;3757.76
Chace;Rowan;South Dakota;10;143.87;944.27;532.87;5328.70
Chace;Rowan;Tennessee;11;84.70;940.47;511.33;5624.68
Chace;Rowan;Texas;5;181.11;981.55;583.15;2915.76
Chace;Rowan;Utah;12;57.40;887.66;491.83;5902.01
Chace;Rowan;Vermont;14;40.75;951.80;418.30;5856.25
Chace;Rowan;Virginia;13;70.72;972.92;496.04;6448.51
Chace;Rowan;Washington;13;25.42;938.04;498.98;6486.77
Chace;Rowan;West Virginia;11;133.85;964.56;566.77;6234.44
Chace;Rowan;Wisconsin;4;77.51;975.96;617.50;2470.00
Chace;Rowan;Wyoming;16;105.03;836.93;350.66;5610.54
Channing;Jane;Alabama;7;379.34;832.37;668.66;4680.63
Channing;Jane;Alaska;9;322.18;807.40;573.29;5159.64
Channing;Jane;Arizona;11;180.73;856.09;517.67;5694.34
Channing;Jane;Arkansas;11;279.72;888.70;500.91;5509.96
Channing;Jane;California;6;73.64;930.35;440.24;2641.42
Channing;Jane;Colorado;7;112.56;983.63;583.43;4083.99
Channing;Jane;Connecticut;13;181.03;725.58;458.41;5959.29
Channing;Jane;Delaware;9;461.82;973.90;801.92;7217.26
Channing;Jane;Florida;6;347.50;952.22;672.46;4034.76
Channing;Jane;Georgia;6;210.52;622.10;390.70;2344.20
Channing;Jane;Hawaii;11;88.62;946.90;409.59;4505.50
Channing;Jane;Idaho;10;55.11;987.15;572.17;5721.65
Channing;Jane;Illinois;9;152.33;997.77;458.69;4128.17
Channing;Jane;Indiana;9;55.28;877.41;651.66;5864.97
Channing;Jane;Iowa;10;116.42;999.53;670.15;6701.53
Channing;Jane;Kansas;14;40.21;659.15;347.92;4870.94
Channing;Jane;Kentucky;12;193.62;930.77;599.95;7199.35
Channing;Jane;Louisiana;6;59.02;580.46;321.29;1927.72
Channing;Jane;Maine;6;157.25;671.52;444.03;2664.16
Channing;Jane;Maryland;5;325.76;940.81;632.84;3164.18
Channing;Jane;Massachusetts;10;130.02;853.90;464.49;4644.91
Channing;Jane;Michigan;17;40.08;967.39;415.30;7060.15
Channing;Jane;Minnesota;14;103.68;932.76;456.77;6394.73
Channing;Jane;Mississippi;14;34.54;879.96;400.62;5608.72
Channing;Jane;Missouri;13;243.18;952.06;591.32;7687.21
Channing;Jane;Montana;8;199.36;921.93;470.84;3766.76
Channing;Jane;Nebraska;9;28.67;990.02;333.88;3004.89
Channing;Jane;Nevada;13;91.02;908.13;539.43;7012.56
Channing;Jane;New Hampshire;6;49.84;908.60;463.68;2782.06
Channing;Jane;New Jersey;11;43.01;894.54;420.56;4626.11
Channing;Jane;New Mexico;14;47.63;871.77;472.39;6613.49
Channing;Jane;New York;14;32.93;887.24;478.69;6701.66
Channing;Jane;North Carolina;9;35.93;799.79;417.20;3754.80
Channing;Jane;North Dakota;9;103.50;907.80;632.65;5693.88
Channing;Jane;Ohio;4;41.51;942.07;653.56;2614.23
Channing;Jane;Oklahoma;18;38.99;994.26;544.21;9795.78
Channing;Jane;Oregon;8;22.29;980.86;350.67;2805.36
Channing;Jane;Pennsylvania;9;221.42;987.15;623.22;5608.95
Channing;Jane;Rhode Island;13;59.60;994.25;584.84;7602.88
Channing;Jane;South Carolina;9;143.19;925.57;516.98;4652.81
Channing;Jane;South Dakota;8;43.32;853.30;317.75;2542.01
Channing;Jane;Tennessee;14;27.35;864.64;402.75;5638.47
Channing;Jane;Texas;16;35.03;985.81;522.68;8362.85
Channing;Jane;Utah;6;44.51;860.13;456.46;2738.73
Channing;Jane;Vermont;12;81.52;891.72;549.33;6591.91
Channing;Jane;Virginia;13;26.91;945.62;438.99;5706.92
Channing;Jane;Washington;8;200.84;924.22;601.07;4808.57
Channing;Jane;West Virginia;10;135.83;957.96;462.59;4625.85
Channing;Jane;Wisconsin;11;78.21;852.53;477.78;5255.53
Channing;Jane;Wyoming;8;28.20;804.04;452.98;3623.86
Chessman;Tiara;Alabama;10;79.82;849.96;562.51;5625.06
Chessman;Tiara;Alaska;6;261.95;961.95;632.82;3796.93
Chessman;Tiara;Arizona;9;121.04;949.72;434.97;3914.69
Chessman;Tiara;Arkansas;9;59.75;915.99;495.54;4459.83
Chessman;Tiara;California;11;41.73;916.33;479.22;5271.45
Chessman;Tiara;Colorado;18;134.02;928.63;531.46;9566.28
Chessman;Tiara;Connecticut;11;66.02;916.18;526.56;5792.19
Chessman;Tiara;Delaware;15;32.04;977.54;461.23;6918.43
Chessman;Tiara;Florida;7;81.65;867.02;485.22;3396.51
Chessman;Tiara;Georgia;9;183.26;927.26;564.43;5079.87
Chessman;Tiara;Hawaii;6;101.35;984.30;557.37;3344.20
Chessman;Tiara;Idaho;14;95.43;979.98;559.95;7839.31
Chessman;Tiara;Illinois;7;45.51;994.10;460.17;3221.19
Chessman;Tiara;Indiana;10;144.04;835.53;421.66;4216.61
Chessman;Tiara;Iowa;11;23.64;797.10;460.13;5061.44
Chessman;Tiara;Kansas;6;557.05;934.00;782.25;4693.50
Chessman;Tiara;Kentucky;8;112.79;892.99;666.89;5335.10
Chessman;Tiara;Louisiana;11;102.52;968.82;597.64;6573.99
Chessman;Tiara;Maine;24;131.87;930.28;487.57;11701.77
Chessman;Tiara;Maryland;4;74.42;950.26;475.59;1902.34
Chessman;Tiara;Massachusetts;13;97.75;825.45;431.53;5609.92
Chessman;Tiara;Michigan;12;229.35;912.32;558.71;6704.48
Chessman;Tiara;Minnesota;7;153.00;613.98;406.64;2846.48
Chessman;Tiara;Mississippi;9;36.13;952.87;582.67;5244.05
Chessman;Tiara;Missouri;10;51.33;800.60;493.23;4932.29
Chessman;Tiara;Montana;8;47.49;951.58;555.70;4445.60
Chessman;Tiara;Nebraska;12;102.31;988.23;555.76;6669.08
Chessman;Tiara;Nevada;6;125.04;970.59;622.44;3734.64
Chessman;Tiara;New Hampshire;12;348.93;954.44;636.17;7634.09
Chessman;Tiara;New Jersey;14;83.22;956.92;529.65;7415.04
Chessman;Tiara;New Mexico;11;225.01;867.27;566.53;6231.83
Chessman;Tiara;New York;4;549.10;920.47;726.40;2905.58
Chessman;Tiara;North Carolina;11;70.75;959.37;648.76;7136.34
Chessman;Tiara;North Dakota;8;135.98;967.95;616.75;4934.03
Chessman;Tiara;Ohio;8;293.39;896.15;660.80;5286.37
Chessman;Tiara;Oklahoma;6;90.11;961.63;505.70;3034.21
Chessman;Tiara;Oregon;14;66.86;856.69;417.95;5851.26
Chessman;Tiara;Pennsylvania;12;46.23;854.45;458.12;5497.41
Chessman;Tiara;Rhode Island;8;37.08;947.32;454.66;3637.24
Chessman;Tiara;South Carolina;6;159.27;883.77;483.61;2901.67
Chessman;Tiara;South Dakota;13;79.96;805.13;397.46;5167.02
Chessman;Tiara;Tennessee;15;146.76;915.02;555.68;8335.16
Chessman;Tiara;Texas;9;66.99;916.59;517.61;4658.45
Chessman;Tiara;Utah;8;89.64;903.42;493.35;3946.83
Chessman;Tiara;Vermont;13;75.56;968.24;627.56;8158.33
Chessman;Tiara;Virginia;16;27.33;833.10;373.04;5968.63
Chessman;Tiara;Washington;8;487.02;932.28;703.76;5630.07
Chessman;Tiara;West Virginia;7;215.93;947.17;656.07;4592.52
Chessman;Tiara;Wisconsin;10;42.97;984.50;488.87;4888.74
Chessman;Tiara;Wyoming;6;29.04;503.15;232.46;1394.76
Chestnut;Vanessa;Alabama;10;200.23;953.61;648.21;6482.11
Chestnut;Vanessa;Alaska;7;21.95;838.14;387.87;2715.12
Chestnut;Vanessa;Arizona;10;98.40;934.32;427.77;4277.70
Chestnut;Vanessa;Arkansas;12;106.07;940.16;475.91;5710.87
Chestnut;Vanessa;California;13;31.51;909.89;424.25;5515.24
Chestnut;Vanessa;Colorado;11;98.66;989.87;562.65;6189.16
Chestnut;Vanessa;Connecticut;8;168.20;980.89;426.87;3415.00
Chestnut;Vanessa;Delaware;16;51.72;993.15;476.64;7626.27
Chestnut;Vanessa;Florida;8;194.68;981.80;607.20;4857.61
Chestnut;Vanessa;Georgia;11;31.67;830.81;490.99;5400.90
Chestnut;Vanessa;Hawaii;11;180.29;871.92;497.79;5475.72
Chestnut;Vanessa;Idaho;11;115.52;987.84;656.82;7225.07
Chestnut;Vanessa;Illinois;9;276.05;953.26;534.96;4814.66
Chestnut;Vanessa;Indiana;8;56.67;838.60;512.56;4100.48
Chestnut;Vanessa;Iowa;8;243.60;804.23;510.20;4081.59
Chestnut;Vanessa;Kansas;11;163.23;980.92;576.07;6336.80
Chestnut;Vanessa;Kentucky;10;188.85;841.46;527.47;5274.67
Chestnut;Vanessa;Louisiana;11;224.70;896.90;544.33;5987.66
Chestnut;Vanessa;Maine;11;162.43;948.83;624.11;6865.25
Chestnut;Vanessa;Maryland;8;193.45;928.06;549.93;4399.47
Chestnut;Vanessa;Massachusetts;10;31.62;855.20;472.44;4724.44
Chestnut;Vanessa;Michigan;7;48.37;433.85;198.61;1390.27
Chestnut;Vanessa;Minnesota;5;32.03;987.64;412.01;2060.03
Chestnut;Vanessa;Mississippi;8;164.36;963.69;468.48;3747.85
Chestnut;Vanessa;Missouri;6;78.20;859.59;562.12;3372.72
Chestnut;Vanessa;Montana;9;25.97;983.37;552.06;4968.52
Chestnut;Vanessa;Nebraska;5;331.81;820.80;481.56;2407.79
Chestnut;Vanessa;Nevada;8;163.52;983.40;540.89;4327.10
Chestnut;Vanessa;New Hampshire;14;46.05;936.00;527.55;7385.66
Chestnut;Vanessa;New Jersey;5;54.30;948.48;379.37;1896.84
Chestnut;Vanessa;New Mexico;8;107.94;948.33;506.71;4053.69
Chestnut;Vanessa;New York;9;61.95;969.45;507.01;4563.07
Chestnut;Vanessa;North Carolina;4;80.50;512.98;315.37;1261.49
Chestnut;Vanessa;North Dakota;13;87.81;958.19;609.04;7917.51
Chestnut;Vanessa;Ohio;7;99.55;949.89;461.71;3231.95
Chestnut;Vanessa;Oklahoma;9;67.82;990.03;506.33;4556.93
Chestnut;Vanessa;Oregon;10;63.84;892.10;423.47;4234.71
Chestnut;Vanessa;Pennsylvania;10;122.56;997.76;491.74;4917.42
Chestnut;Vanessa;Rhode Island;5;72.74;986.02;601.06;3005.30
Chestnut;Vanessa;South Carolina;9;28.23;973.28;484.22;4358.01
Chestnut;Vanessa;South Dakota;15;29.48;986.50;473.29;7099.40
Chestnut;Vanessa;Tennessee;9;166.24;876.47;461.08;4149.71
Chestnut;Vanessa;Texas;12;40.52;996.34;360.38;4324.59
Chestnut;Vanessa;Utah;10;152.21;925.58;506.19;5061.89
Chestnut;Vanessa;Vermont;12;203.66;911.34;606.58;7279.00
Chestnut;Vanessa;Virginia;11;148.59;983.80;587.31;6460.38
Chestnut;Vanessa;Washington;8;112.19;999.56;565.37;4522.99
Chestnut;Vanessa;West Virginia;8;89.13;943.67;460.59;3684.75
Chestnut;Vanessa;Wisconsin;8;337.40;901.27;608.86;4870.88
Chestnut;Vanessa;Wyoming;5;23.56;871.94;560.85;2804.24
Chilton;Leonardo;Alabama;12;154.48;787.01;413.35;4960.18
Chilton;Leonardo;Alaska;8;464.96;997.73;681.80;5454.40
Chilton;Leonardo;Arizona;8;68.07;829.92;505.90;4047.18
Chilton;Leonardo;Arkansas;6;171.13;794.95;511.14;3066.86
Chilton;Leonardo;California;8;353.18;954.92;648.77;5190.12
Chilton;Leonardo;Colorado;9;26.17;998.50;552.30;4970.67
Chilton;Leonardo;Connecticut;7;215.63;789.06;419.56;2936.90
Chilton;Leonardo;Delaware;9;91.15;932.58;482.95;4346.54
Chilton;Leonardo;Florida;13;123.83;899.68;468.11;6085.44
Chilton;Leonardo;Georgia;10;53.50;990.43;561.31;5613.14
Chilton;Leonardo;Hawaii;13;26.01;938.87;374.56;4869.33
Chilton;Leonardo;Idaho;13;75.01;923.35;418.74;5443.67
Chilton;Leonardo;Illinois;11;157.82;859.38;485.12;5336.33
Chilton;Leonardo;Indiana;10;158.43;823.42;549.36;5493.58
Chilton;Leonardo;Iowa;13;45.30;940.99;558.44;7259.73
Chilton;Leonardo;Kansas;7;207.72;804.51;553.96;3877.72
Chilton;Leonardo;Kentucky;12;49.63;998.74;457.28;5487.35
Chilton;Leonardo;Louisiana;17;59.20;995.93;516.09;8773.54
Chilton;Leonardo;Maine;6;69.46;992.06;536.37;3218.22
Chilton;Leonardo;Maryland;2;250.20;444.10;347.15;694.30
Chilton;Leonardo;Massachusetts;13;43.76;958.65;581.85;7564.02
Chilton;Leonardo;Michigan;13;53.51;863.63;495.53;6441.85
Chilton;Leonardo;Minnesota;19;53.90;987.87;541.37;10285.98
Chilton;Leonardo;Mississippi;9;126.05;986.20;572.97;5156.72
Chilton;Leonardo;Missouri;11;20.83;978.46;496.02;5456.21
Chilton;Leonardo;Montana;15;50.10;939.14;542.15;8132.20
Chilton;Leonardo;Nebraska;13;93.11;990.35;541.12;7034.57
Chilton;Leonardo;Nevada;15;294.84;941.49;600.57;9008.52
Chilton;Leonardo;New Hampshire;9;125.86;981.39;640.67;5766.07
Chilton;Leonardo;New Jersey;10;33.16;969.85;416.72;4167.16
Chilton;Leonardo;New Mexico;8;46.72;999.54;556.44;4451.51
Chilton;Leonardo;New York;13;265.62;946.51;656.21;8530.77
Chilton;Leonardo;North Carolina;11;25.20;933.86;582.52;6407.76
Chilton;Leonardo;North Dakota;5;346.38;939.45;572.81;2864.05
Chilton;Leonardo;Ohio;8;43.84;953.60;557.75;4462.02
Chilton;Leonardo;Oklahoma;9;47.57;901.67;478.66;4307.96
Chilton;Leonardo;Oregon;16;94.77;796.28;461.35;7381.66
Chilton;Leonardo;Pennsylvania;7;55.57;938.70;494.11;3458.79
Chilton;Leonardo;Rhode Island;9;135.61;873.62;512.16;4609.48
Chilton;Leonardo;South Carolina;13;56.86;977.19;567.44;7376.70
Chilton;Leonardo;South Dakota;7;184.53;839.45;574.42;4020.95
Chilton;Leonardo;Tennessee;9;36.07;725.28;431.11;3880.02
Chilton;Leonardo;Texas;8;93.20;872.59;422.98;3383.85
Chilton;Leonardo;Utah;8;93.69;867.52;581.75;4654.01
Chilton;Leonardo;Vermont;18;20.32;982.61;394.51;7101.23
Chilton;Leonardo;Virginia;15;171.51;997.14;632.24;9483.57
Chilton;Leonardo;Washington;13;77.02;987.01;455.07;5915.95
Chilton;Leonardo;West Virginia;3;58.33;446.23;312.87;938.62
Chilton;Leonardo;Wisconsin;9;54.77;911.19;392.44;3531.97
Chilton;Leonardo;Wyoming;12;74.77;905.67;568.11;6817.32
Choin;Amy;Alabama;9;85.87;989.98;483.65;4352.88
Choin;Amy;Alaska;10;46.65;956.76;686.86;6868.60
Choin;Amy;Arizona;8;361.92;960.43;664.92;5319.34
Choin;Amy;Arkansas;11;353.24;976.42;665.42;7319.65
Choin;Amy;California;4;95.48;812.83;455.16;1820.62
Choin;Amy;Colorado;15;145.11;997.51;625.22;9378.27
Choin;Amy;Connecticut;8;57.38;816.60;366.16;2929.24
Choin;Amy;Delaware;14;33.42;994.19;548.50;7678.97
Choin;Amy;Florida;7;235.03;934.01;495.81;3470.67
Choin;Amy;Georgia;5;73.26;956.41;396.54;1982.70
Choin;Amy;Hawaii;9;87.32;970.17;530.68;4776.16
Choin;Amy;Idaho;8;173.60;839.54;550.20;4401.59
Choin;Amy;Illinois;14;42.75;999.31;391.32;5478.45
Choin;Amy;Indiana;15;34.34;895.22;461.51;6922.69
Choin;Amy;Iowa;6;205.76;981.85;613.99;3683.93
Choin;Amy;Kansas;8;47.61;952.15;473.17;3785.37
Choin;Amy;Kentucky;13;74.15;817.72;465.78;6055.13
Choin;Amy;Louisiana;10;88.39;909.08;463.02;4630.20
Choin;Amy;Maine;12;46.41;973.89;502.96;6035.56
Choin;Amy;Maryland;11;50.13;915.62;579.99;6379.93
Choin;Amy;Massachusetts;12;45.95;868.53;486.71;5840.47
Choin;Amy;Michigan;17;140.70;976.05;661.53;11245.95
Choin;Amy;Minnesota;13;129.30;907.08;489.86;6368.12
Choin;Amy;Mississippi;8;23.84;850.92;361.09;2888.72
Choin;Amy;Missouri;10;110.59;992.70;498.41;4984.14
Choin;Amy;Montana;9;41.93;999.42;484.90;4364.13
Choin;Amy;Nebraska;13;54.73;971.93;607.80;7901.35
Choin;Amy;Nevada;14;49.81;997.45;641.06;8974.77
